Aula, Tema, Descrição, Link
1, tidyr, Colinha do tidyr,                           https://raw.githubusercontent.com/rstudio/cheatsheets/main/tidyr.pdf
1, tidyr, Livro da Curso-R: capítulo sobre tidyr,     https://livro.curso-r.com/7-3-tidyr.html
1, tidyr, Texto sobre tidyr por Garrick Aden-Buie,    https://www.garrickadenbuie.com/project/tidyexplain/
1, dplyr, Colinha do dplyr,                           https://raw.githubusercontent.com/rstudio/cheatsheets/main/data-transformation.pdf
1, dplyr, Livro da Curso-R: capítulo sobre dplyr 1.0, https://livro.curso-r.com/7-2-dplyr.html#dplyr-1.0
3, Dúvidas, Cache no RMarkdown - RMarkdown com bastante conteúdo que demore para rodar, https://bookdown.org/yihui/rmarkdown-cookbook/cache.html
3, Dúvidas, Função ggsave - salvar gráficos em imagens, https://ggplot2.tidyverse.org/reference/ggsave.html
3, strings, Colinha do stringr, https://raw.githubusercontent.com/rstudio/cheatsheets/main/strings.pdf
3, strings, Documentação das regex no R, https://stringi.gagolewski.com/rapi/about_search_regex.html
3, strings, Livro da Curso-R: Capítulo sobre stringr, https://livro.curso-r.com/7-4-o-pacote-stringr.html
3, strings, Documentação do stringr, https://stringr.tidyverse.org/articles/stringr.html
3, Regex, Regex interativo, https://regex101.com/
3, strings, Transliteração - removendo acentos, https://blog.curso-r.com/posts/2019-08-29-transliteracao/
3, strings, Lista de caracteres em Unicode, https://en.wikipedia.org/wiki/List_of_Unicode_characters
3, Dúvidas, Fontes no Windows, https://github.com/wch/extrafont
4, lubridate, Colinha do lubridate, https://raw.githubusercontent.com/rstudio/cheatsheets/main/lubridate.pdf
4, forcats, Colinha do forcats, https://raw.githubusercontent.com/rstudio/cheatsheets/main/factors.pdf
4, lubridate, Livro da Curso-R: Capítulo sobre lubridate, https://livro.curso-r.com/7-5-o-pacote-lubridate.html
4, forcats, Livro da Curso-R: Capítulo sobre forcats, https://livro.curso-r.com/7-6-forcats.html
4, lubridate, Códigos para abreviar datas, https://www.stat.berkeley.edu/~s133/dates.html
4, lubridate, Mais exemplos de códigos para abreviar datas, https://rdrr.io/r/base/strptime.html
4, lubridate, Post no blog sobre o Lubridate, https://blog.curso-r.com/posts/2021-11-16.lubridate/
4, lubridate, Post no blog: texto por William Amorim com dados de poluição do ar, https://blog.curso-r.com/posts/2018-06-18-poluicao-greve-caminhoneiros/
4, forcats, Post no blog com exemplo de forcats::fct_reorder(), https://blog.curso-r.com/posts/2020-17-02-dicas-relatorios-r4ds1_graficos/
5, purrr, A Magia de purrr, https://lente.dev/posts/magica-purrr/
5, purrr, Webinar de purrr avançado, https://www.youtube.com/watch?v=vb1lD9_AFcU
5, purrr, Exemplos com purrr, https://lente.dev/advanced-purrr.pdf
5, purrr, Colinha do purrr, https://raw.githubusercontent.com/rstudio/cheatsheets/main/purrr.pdf
5, purrr, Tutorial de purrr, https://jennybc.github.io/purrr-tutorial/
5, iteração, R for Data Science: Iteration, https://r4ds.had.co.nz/iteration.html
6, rlang, Anúncio do rlang 0.4, https://www.tidyverse.org/blog/2019/06/rlang-0-4-0/
6, rlang, Interpolação no rlang, https://www.tidyverse.org/blog/2020/02/glue-strings-and-tidy-eval/
6, Manual, Programando com o dplyr, https://dplyr.tidyverse.org/articles/programming.html
6, Aprofundamento, Metaprogramação, https://adv-r.hadley.nz/metaprogramming.html
6, rlang, rlang para Filhotes, https://blog.curso-r.com/posts/2021-07-27-rlang-para-filhotes
6, Trabalho final, Post no blog: dicas para criar tabelas, https://blog.curso-r.com/posts/2020-12-03-dicas-relatorios-r4ds1_tabelas/
6, Trabalho final, Post no blog: dicas de relatórios, https://blog.curso-r.com/posts/2021-03-15-dicas-relatorios-r4ds1_relatorios/
6, rmarkdown, Colinha de rmarkdown, https://www.rstudio.com/wp-content/uploads/2015/02/rmarkdown-cheatsheet.alunos |>
  mutate(across(Nota1:Nota9, as.numeric))pdf
